name,descrição,tipo
aug_0_2062.jpeg,"Placa de circuito impresso, capacitores, resistores, circuitos integrados",Placas e Circuitos Eletrônicos
aug_0_2611.jpeg,Placas de circuito,Placas e Circuitos Eletrônicos
aug_0_4400.jpeg,"Placa de circuito, transistores, resistores",Placas e Circuitos Eletrônicos
aug_0_4840.jpeg,"Placa de circuito, fios elétricos, bobina de cobre, componentes eletrônicos",Placas e Circuitos Eletrônicos
aug_0_8113.jpeg,"Placa de circuito eletrônico, capacitores",Placas e Circuitos Eletrônicos
aug_0_8260.jpeg,"Placa de circuito eletrônico, componentes eletrônicos",Placas e Circuitos Eletrônicos
aug_0_8516.jpeg,Placa de circuito eletrônico,Placas e Circuitos Eletrônicos
aug_0_9011.jpeg,"Placa de circuito, chip",Placas e Circuitos Eletrônicos
aug_0_9042.jpeg,"Placa de circuito, componentes eletrônicos",Placas e Circuitos Eletrônicos
aug_0_9463.jpeg,"Placa de circuito impresso, componentes eletrônicos",Placas e Circuitos Eletrônicos
pcb_186.jpg,"Placa de circuito, resíduos de solda",Placas e Circuitos Eletrônicos
pcb_187.jpg,Placa de circuito impresso,Placas e Circuitos Eletrônicos
pcb_188.jpg,"Placa de circuito impresso, capacitores, resistores",Placas e Circuitos Eletrônicos
pcb_196.jpg,"Placa de circuito impresso, componentes eletrônicos, joystick",Placas e Circuitos Eletrônicos
pcb_278.jpg,Placa de circuito eletrônico,Placas e Circuitos Eletrônicos
pcb_29.jpg,"Placa de circuito, fios, capacitores, resistores, conectores, dissipador de calor",Placas e Circuitos Eletrônicos
pcb_297.jpg,Placa de circuito eletrônico,Placas e Circuitos Eletrônicos
pcb_3.jpg,"Placa de circuito, circuitos integrados, resistores, capacitores",Placas e Circuitos Eletrônicos
pcb_36.jpg,"Placa de circuito, transistores, indutores",Placas e Circuitos Eletrônicos
pcb_46.jpg,"Placa de circuito impresso, resistores, capacitores, transistores, fusível",Placas e Circuitos Eletrônicos
